Zip Code,HC02_EST_VC18,HC02_EST_VC17,HC01_EST_VC02,HC01_EST_VC20,HC01_EST_VC08,HC01_EST_VC24,HC01_EST_VC28,HC01_EST_VC32,HC01_VC03,HC01_VC03.1,HC01_VC04,HC03_VC04,HC01_VC09,HC03_VC09,HC03_VC12,HC01_VC74,HC03_VC74,HC01_VC75,HC03_VC75,HC01_VC76,HC03_VC76,HC01_VC77,HC03_VC77,HC01_VC78,HC03_VC78,HC01_VC79,HC03_VC79,HC01_VC80,HC03_VC80,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC84,HC03_VC84,HC01_VC85,HC01_VC86,HC01_VC89,HC03_VC89,HC01_VC120,HC03_VC120,HC01_VC121,HC01_VC122,HC01_VC124,HC01_VC125,HC01_VC126,HC03_VC161,HC03_VC171
78730,69.8,98.2,306,1592,6549,1306,2597,1054,7127,7127,5212,73.1,1915,26.9,4.0,3752,3752,81,2.2,65,1.7,66,1.8,141,3.8,391,10.4,714,19,305,8.1,551,14.7,230,6.1,1208,32.2,105086,181941,3386,90.2,1522,1522,54773,81883,55400,105083,62153,2,4
78731,75.3,98.0,1893,5291,20022,3418,7224,4089,22436,22436,15515,69.2,6921,30.8,3.8,12588,12588,774,6.1,230,1.8,713,5.7,979,7.8,1131,9,2042,16.2,1168,9.3,2043,16.2,1034,8.2,2474,19.7,83438,130574,10169,80.8,5898,5898,50105,75194,50303,89698,54690,3.4,8.9
78732,71.7,97.3,355,999,10265,3586,4010,1670,10953,10953,7525,68.7,3428,31.3,5.0,5327,5327,24,0.5,0,0,228,4.3,73,1.4,325,6.1,591,11.1,366,6.9,1247,23.4,902,16.9,1571,29.5,138734,181374,4385,82.3,972,972,65517,72124,79258,131362,61200,0,1.1
78733,75.9,98.4,341,611,5803,1504,2893,795,6489,6489,4383,67.5,2106,32.5,4.1,2991,2991,65,2.2,76,2.5,127,4.2,217,7.3,166,5.5,275,9.2,204,6.8,524,17.5,251,8.4,1086,36.3,129875,197679,2677,89.5,562,562,32198,59935,60694,102754,76042,1.6,2.2
78735,64.5,95.6,825,3114,12291,2208,4496,2473,13447,13447,9337,69.4,4110,30.6,4.6,6983,6983,237,3.4,269,3.9,349,5,390,5.6,344,4.9,1172,16.8,868,12.4,1195,17.1,785,11.2,1374,19.7,94375,138636,5774,82.7,2768,2768,57978,77425,52451,72406,56106,4.2,8
78741,29.7,75.1,12567,13961,29670,6352,7584,1773,43140,43140,32844,76.1,10296,23.9,6.7,20617,20617,2866,13.9,1410,6.8,3301,16,2742,13.3,3701,18,3217,15.6,1587,7.7,1234,6,372,1.8,187,0.9,34950,44821,18612,90.3,13178,13178,33466,41906,21956,31424,30604,28.3,34.9
78742,10.1,62.4,100,125,513,36,234,118,616,616,390,63.3,226,36.7,4.9,280,280,57,20.4,16,5.7,27,9.6,37,13.2,46,16.4,32,11.4,36,12.9,29,10.4,0,0,0,0,36250,45966,195,69.6,123,123,20677,32340,24450,31250,27589,14.6,26.6
78744,15.9,67.2,4949,9504,27679,7046,8756,2373,34143,34143,24434,71.6,9709,28.4,6.4,13528,13528,1013,7.5,729,5.4,1624,12,1872,13.8,2192,16.2,2953,21.8,1835,13.6,929,6.9,305,2.3,76,0.6,43871,53062,12227,90.4,4164,4164,38226,49547,24839,30592,27427,24.7,26.4
78745,37.8,87.2,4415,14689,46008,10669,14839,5811,51321,51321,38799,75.6,12522,24.4,5.7,25592,25592,1397,5.5,951,3.7,1972,7.7,2344,9.2,4412,17.2,5452,21.3,4074,15.9,3337,13,978,3.8,675,2.6,56778,68069,22391,87.5,12455,12455,46891,57404,32414,43182,40028,9.3,13.4
78746,79.3,99.1,1064,3077,19659,4197,8991,3394,21719,21719,14663,67.5,7056,32.5,3.7,10817,10817,222,2.1,119,1.1,338,3.1,293,2.7,653,6,1232,11.4,1257,11.6,1869,17.3,1108,10.2,3726,34.4,132551,210283,9361,86.5,3335,3335,74046,98538,66299,113670,64216,2.7,4.5
78749,62.2,97.6,2193,7258,26702,5727,10141,3576,29765,29765,22916,77.0,6849,23.0,5.2,15015,15015,388,2.6,266,1.8,440,2.9,576,3.8,1808,12,2641,17.6,2398,16,3703,24.7,1652,11,1143,7.6,87421,100921,13591,90.5,6000,6000,65727,74212,47126,71977,52451,3.7,5
78750,57.0,95.8,2092,4238,20802,4765,8293,3506,23681,23681,16795,70.9,6886,29.1,6.3,11374,11374,320,2.8,166,1.5,677,6,937,8.2,1161,10.2,2165,19,1515,13.3,1764,15.5,1120,9.8,1549,13.6,79228,112980,9978,87.7,3657,3657,57793,73145,41926,81977,50482,4.8,7.4
78751,71.2,97.0,2929,4898,10276,2244,2398,736,13280,13280,10651,80.2,2629,19.8,5.9,7444,7444,777,10.4,194,2.6,849,11.4,939,12.6,832,11.2,1356,18.2,698,9.4,816,11,473,6.4,510,6.9,51567,74843,6699,90,5420,5420,37701,57364,31585,53750,44023,8.2,21.2
78752,29.1,73.2,1778,5416,13197,2946,3606,1229,15282,15282,11542,75.5,3740,24.5,5.9,7663,7663,849,11.1,575,7.5,1175,15.3,951,12.4,1208,15.8,1370,17.9,680,8.9,586,7.6,158,2.1,111,1.4,38363,52710,6706,87.5,3786,3786,33305,42941,24689,30349,35573,27,29.2
78753,18.6,72.6,5287,12503,35575,8788,10769,3515,42137,42137,31242,74.1,10895,25.9,5.4,19163,19163,1256,6.6,1020,5.3,2980,15.6,2905,15.2,2888,15.1,3432,17.9,2056,10.7,1761,9.2,487,2.5,378,2,41489,57152,16930,88.3,7514,7514,35367,51998,24127,30408,29469,22.4,24.4
78756,72.9,96.2,656,2530,6867,1598,1817,922,7677,7677,6033,78.6,1644,21.4,2.1,4326,4326,253,5.8,84,1.9,251,5.8,331,7.7,384,8.9,992,22.9,452,10.4,694,16,305,7.1,580,13.4,69583,101313,3848,89,2672,2672,56250,66551,50675,59559,61458,2.1,9.9
78757,56.4,92.7,1277,5173,17934,4113,5874,2774,19456,19456,14765,75.9,4691,24.1,3.2,10715,10715,460,4.3,497,4.6,1063,9.9,799,7.5,1258,11.7,2044,19.1,1279,11.9,1727,16.1,739,6.9,849,7.9,62992,87935,9137,85.3,5385,5385,45294,63521,41028,50841,48507,9,15.2
78758,32.6,81.8,4233,11866,31934,7547,9490,3031,36846,36846,28254,76.7,8592,23.3,5.3,18977,18977,1233,6.5,913,4.8,2301,12.1,2227,11.7,3290,17.3,3948,20.8,2002,10.5,2029,10.7,633,3.3,401,2.1,47244,60426,16770,88.4,10166,10166,41730,53756,27966,36141,36262,20.2,22.7
78759,65.7,97.7,2019,8296,31942,6447,11397,5802,34565,34565,25282,73.1,9283,26.9,4.7,20118,20118,795,4,395,2,1129,5.6,1477,7.3,2675,13.3,3665,18.2,2595,12.9,3461,17.2,1709,8.5,2217,11,74379,101199,16922,84.1,10627,10627,50381,62859,48625,71212,51152,2.6,5.7
